timestamp,open,high,low,close,volume
2018-04-18,96.2200,96.7200,95.5200,96.4400,21029213
2018-04-17,95.0000,96.5400,94.8800,96.0700,25698175
2018-04-16,94.0700,94.6600,93.4200,94.1700,20288083
2018-04-13,94.0500,94.1800,92.4400,93.0800,23346063
2018-04-12,92.4300,94.1600,92.4300,93.5800,26758879
2018-04-11,92.0100,93.2900,91.4800,91.8600,24872110
2018-04-10,92.3900,93.2800,91.6400,92.8800,26939883
2018-04-09,91.0400,93.1700,90.6200,90.7700,31533943
2018-04-06,91.4900,92.4600,89.4800,90.2300,38026000
2018-04-05,92.4350,93.0650,91.4000,92.3800,29771881
2018-04-04,87.8500,92.7600,87.7300,92.3300,35559956
2018-04-03,89.5750,90.0500,87.8900,89.7100,37213837
2018-04-02,90.4700,90.8800,87.5100,88.5200,48515417
2018-03-29,90.1800,92.2900,88.4000,91.2700,45867548
2018-03-28,89.8200,91.2300,88.8730,89.3900,52501146
2018-03-27,94.9400,95.1390,88.5100,89.4700,53704562
2018-03-26,90.6100,94.0000,90.4000,93.7800,55031149
2018-03-23,89.5000,90.4600,87.0800,87.1800,42159397
2018-03-22,91.2650,91.7500,89.6600,89.7900,37578166
2018-03-21,92.9300,94.0500,92.2100,92.4800,23753263
2018-03-20,93.0500,93.7700,93.0000,93.1300,21787780
2018-03-19,93.7400,93.9000,92.1100,92.8900,31752589
2018-03-16,94.6800,95.3800,93.9200,94.6000,47329521
2018-03-15,93.5300,94.5800,92.8300,94.1800,26279014
2018-03-14,95.1200,95.4100,93.5000,93.8500,31576898
2018-03-13,97.0000,97.2400,93.9700,94.4100,34445391
2018-03-12,96.5000,97.2100,96.0400,96.7700,25333720
2018-03-09,95.2900,96.5400,95.0000,96.5400,36145524
2018-03-08,94.2700,95.1000,93.7650,94.4300,24861307
2018-03-07,93.1600,93.9406,92.4300,93.8600,26716127
2018-03-06,94.3400,94.4900,92.9410,93.3200,22175776
2018-03-05,92.3400,94.2700,92.2600,93.6400,23901578
2018-03-02,91.5800,93.1500,90.8600,93.0500,32830389
